Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609082_1	(1, 33.6308874738832)	(2, 35.61737140583026)	(3, 36.09684608496667)	(4, 36.43092229628893)	(5, 36.430310416873944)	(6, 36.36719729380161)	(7, 36.3274151825689)	(8, 36.33188737439061)	(9, 36.36360561138195)	(10, 36.37751368023082)	(15, 36.37227042085364)	(20, 36.35532683315093)	(25, 36.259369216993335)	(30, 36.305196497860905)	(35, 36.32549479870152)	(40, 36.2936710002092)	(45, 36.3337246258893)	(50, 36.35203631912623)	(55, 36.37834126522729)	(60, 36.21191559467673)	(65, 36.187626888395194)	(70, 36.08542662794907)	(75, 35.87774589109021)	(80, 35.53410127003289)	(85, 35.58402687888804)	(90, 35.31770276197877)	(95, 34.99419826148203)	(100, 34.83792397898808)	(105, 34.68949183095809)	(110, 34.529831894122665)	(115, 34.318035981646474)	(120, 34.26197658097108)	(125, 34.180390066357916)	(130, 34.272984605246435)	(135, 34.00200517813913)	(140, 33.994617539143654)	(145, 34.292147736917336)	(150, 36.09033863281744)
SRR23609082_2	(1, 32.37893741916227)	(2, 35.96149139389116)	(3, 35.91379962192816)	(4, 36.16515769575167)	(5, 36.13548900606905)	(6, 36.35188538453885)	(7, 36.28610586011342)	(8, 36.32842503233509)	(9, 36.32970848671774)	(10, 36.30011043677247)	(15, 36.30739528405134)	(20, 36.24056213312108)	(25, 36.168890657646)	(30, 36.20790170132326)	(35, 36.24558127323242)	(40, 36.22680814484571)	(45, 36.24086892023357)	(50, 36.24081577396256)	(55, 36.21910329713319)	(60, 36.13804564810049)	(65, 36.11533742164677)	(70, 35.874999792200455)	(75, 36.07745027722136)	(80, 36.112577312734814)	(85, 36.1433991202066)	(90, 36.110136410167144)	(95, 36.092458803467714)	(100, 36.07121364982862)	(105, 35.88132472640598)	(110, 35.71508231328594)	(115, 35.525814191761064)	(120, 35.47882243415805)	(125, 35.37770088115521)	(130, 35.34044849634825)	(135, 35.25412608296465)	(140, 35.148459702994806)	(145, 35.34562764202847)	(150, 35.24216450280647)
SRR23609083_1	(1, 33.705043103448276)	(2, 35.64411637931035)	(3, 36.10807471264368)	(4, 36.390028735632185)	(5, 36.38862068965517)	(6, 36.33090517241379)	(7, 36.244145114942526)	(8, 36.297449712643676)	(9, 36.30817528735632)	(10, 36.33634770114942)	(15, 36.33708333333333)	(20, 36.33186637931034)	(25, 36.2346408045977)	(30, 36.287844827586206)	(35, 36.293186172825)	(40, 36.25631685609538)	(45, 36.277353924264574)	(50, 36.30920901805118)	(55, 36.32637298935088)	(60, 36.148167193341166)	(65, 36.124645409493546)	(70, 36.02917358127418)	(75, 35.80411322923837)	(80, 35.45154966860848)	(85, 35.57059876703012)	(90, 35.441303278075736)	(95, 35.277622415879286)	(100, 35.20151345627763)	(105, 35.1330282149944)	(110, 35.06776381433126)	(115, 34.83451452740894)	(120, 34.75063000031837)	(125, 34.75804259150059)	(130, 34.76495716787464)	(135, 34.55191501831531)	(140, 34.5450468312185)	(145, 34.834087464114724)	(150, 36.15896332335329)
SRR23609083_2	(1, 32.402169540229885)	(2, 35.97307471264368)	(3, 35.921343390804594)	(4, 36.179597701149426)	(5, 36.1116091954023)	(6, 36.32721264367816)	(7, 36.26701149425288)	(8, 36.32364224137931)	(9, 36.318117816091956)	(10, 36.28951867816092)	(15, 36.29937931034483)	(20, 36.232902298850576)	(25, 36.156090517241374)	(30, 36.20751005747127)	(35, 36.22610794544894)	(40, 36.208847073411945)	(45, 36.2221972614557)	(50, 36.222256353691016)	(55, 36.20332005219588)	(60, 36.10101631421902)	(65, 36.08770722333053)	(70, 35.835477570380135)	(75, 36.05735033224135)	(80, 36.08477560799528)	(85, 36.111116926096614)	(90, 36.09494009535902)	(95, 36.06095548603944)	(100, 36.04136711419282)	(105, 35.82400600950659)	(110, 35.67703231459386)	(115, 35.481093469851224)	(120, 35.41776898580957)	(125, 35.34353942787091)	(130, 35.30719080072565)	(135, 35.2239977009582)	(140, 35.1232816073212)	(145, 35.337250832449016)	(150, 35.21771101137305)
SRR23609084_1	(1, 33.70611760156876)	(2, 35.591609357306595)	(3, 36.09996409534068)	(4, 36.37060236970751)	(5, 36.39234402187422)	(6, 36.3297649625763)	(7, 36.3004722843649)	(8, 36.294942966829616)	(9, 36.31692214212721)	(10, 36.33647416245477)	(15, 36.331200044190346)	(20, 36.33436738752175)	(25, 36.218909050736045)	(30, 36.28926782113956)	(35, 36.2812427090955)	(40, 36.21580267423144)	(45, 36.26355360580125)	(50, 36.2813502679404)	(55, 36.282804364529916)	(60, 36.2307013808126)	(65, 36.1738787570895)	(70, 36.092130436924705)	(75, 35.96514706172583)	(80, 35.543602176530875)	(85, 35.76858752872545)	(90, 35.63153786260345)	(95, 35.45964531385249)	(100, 35.348418933688535)	(105, 35.324025917330076)	(110, 35.1570791902148)	(115, 34.89899183515611)	(120, 34.90170878790922)	(125, 34.80698110217416)	(130, 34.812279988111214)	(135, 34.57646123552943)	(140, 34.776426171385026)	(145, 34.79151638722222)	(150, 36.21268239653351)
SRR23609084_2	(1, 32.43472809125307)	(2, 35.965376860828016)	(3, 35.94802110089209)	(4, 36.14108321595272)	(5, 36.086005468555804)	(6, 36.33024000883807)	(7, 36.2804595796393)	(8, 36.306321981937195)	(9, 36.32379374154169)	(10, 36.29545447013008)	(15, 36.303252962134394)	(20, 36.2359819924324)	(25, 36.16533156571934)	(30, 36.22495760488304)	(35, 36.23586444474159)	(40, 36.194180972189244)	(45, 36.22516536834006)	(50, 36.23010668743591)	(55, 36.19690218229365)	(60, 36.144724455418086)	(65, 36.12309228237602)	(70, 35.93024288583233)	(75, 36.10659968177244)	(80, 36.11997196263009)	(85, 36.1796458975535)	(90, 36.1208402669575)	(95, 36.094239806284655)	(100, 36.05782020115656)	(105, 35.90008721220755)	(110, 35.732099495962814)	(115, 35.573470505806974)	(120, 35.51409995250934)	(125, 35.40934772271435)	(130, 35.39353570759843)	(135, 35.24719669278871)	(140, 35.29312665019175)	(145, 35.34223354020553)	(150, 35.31101035039408)
SRR23609085_1	(1, 33.64568426905462)	(2, 35.633649386184395)	(3, 36.10987957801092)	(4, 36.4447346472938)	(5, 36.45393822337328)	(6, 36.34762155597501)	(7, 36.376805232430534)	(8, 36.364126538197034)	(9, 36.358646825571014)	(10, 36.39881041218559)	(15, 36.365888240200164)	(20, 36.37686522394393)	(25, 36.22953777270533)	(30, 36.321560364631345)	(35, 36.308293337148456)	(40, 36.21566364866567)	(45, 36.25090906833899)	(50, 36.29736454868669)	(55, 36.30128452279125)	(60, 36.27162646910271)	(65, 36.212482863628296)	(70, 36.10655418429551)	(75, 36.026215452635604)	(80, 35.62567445511974)	(85, 35.8677722351927)	(90, 35.704436235265874)	(95, 35.54548416444946)	(100, 35.44353863532349)	(105, 35.38528138803159)	(110, 35.259791952796085)	(115, 34.96232344543593)	(120, 34.97695218983339)	(125, 34.93044482004725)	(130, 34.84689314148336)	(135, 34.62247577116683)	(140, 34.79812353836363)	(145, 34.83355772885206)	(150, 36.16361155240539)
SRR23609085_2	(1, 32.404525701242264)	(2, 36.029044671729366)	(3, 35.97606192294749)	(4, 36.21302840086037)	(5, 36.153724595057284)	(6, 36.394817318525675)	(7, 36.33458437586878)	(8, 36.344351286891126)	(9, 36.336998668481044)	(10, 36.32433460632398)	(15, 36.3446044218135)	(20, 36.270898263172526)	(25, 36.196056655399964)	(30, 36.25629837730272)	(35, 36.267817616742136)	(40, 36.21413941505532)	(45, 36.24547476597096)	(50, 36.25591097855225)	(55, 36.2309271475295)	(60, 36.18145714642641)	(65, 36.16886649202794)	(70, 35.93885441322251)	(75, 36.167603268403056)	(80, 36.157401196145884)	(85, 36.21973628801187)	(90, 36.152908869683415)	(95, 36.12400978632032)	(100, 36.10527937054594)	(105, 35.96987357188063)	(110, 35.82835692158848)	(115, 35.72111494259984)	(120, 35.64215230918139)	(125, 35.555090479371124)	(130, 35.50612550138929)	(135, 35.362392847584616)	(140, 35.36110989119156)	(145, 35.414027263786004)	(150, 35.27793988761149)
SRR23609086_1	(1, 33.64941997635507)	(2, 35.54035384798063)	(3, 36.109004176583255)	(4, 36.43037909333554)	(5, 36.466171740690456)	(6, 36.349764325061045)	(7, 36.38222706363998)	(8, 36.377394823927844)	(9, 36.3811583952421)	(10, 36.408942741057004)	(15, 36.37199262773685)	(20, 36.40336088467158)	(25, 36.2627313512202)	(30, 36.344902141983184)	(35, 36.33833899447664)	(40, 36.260026002300954)	(45, 36.29775870226557)	(50, 36.323555649171745)	(55, 36.33193645309372)	(60, 36.28231986065148)	(65, 36.23441874288003)	(70, 36.14000505434271)	(75, 36.02880105905632)	(80, 35.60593748235966)	(85, 35.84020688970169)	(90, 35.695812300821345)	(95, 35.53272106212252)	(100, 35.41960526241543)	(105, 35.387507170780125)	(110, 35.229027172152676)	(115, 34.98109903097461)	(120, 34.965492210433055)	(125, 34.842032971797835)	(130, 34.880459289992686)	(135, 34.67119863871515)	(140, 34.81056622334716)	(145, 34.90641822559304)	(150, 36.23085357084375)
SRR23609086_2	(1, 32.36720375427855)	(2, 35.95781083020563)	(3, 35.938564473745345)	(4, 36.175875972514056)	(5, 36.122850401912245)	(6, 36.365727236588725)	(7, 36.32230419362)	(8, 36.31944408592713)	(9, 36.31834444163367)	(10, 36.30972591495051)	(15, 36.323589693287005)	(20, 36.254831465314744)	(25, 36.183771728300094)	(30, 36.234543286232764)	(35, 36.251731219912635)	(40, 36.21310862419923)	(45, 36.25339539912865)	(50, 36.24907447773537)	(55, 36.23206526701331)	(60, 36.18069827330917)	(65, 36.16256614737963)	(70, 35.948474475789716)	(75, 36.15627750833172)	(80, 36.157006112290745)	(85, 36.21223400414001)	(90, 36.15936525092182)	(95, 36.122894875539465)	(100, 36.098493756379)	(105, 35.96121492121903)	(110, 35.78365045721738)	(115, 35.674457314969615)	(120, 35.59010241453957)	(125, 35.46626724480275)	(130, 35.463390548560064)	(135, 35.28827621049805)	(140, 35.34287969406607)	(145, 35.37414949014342)	(150, 35.376435836130064)
